Part,Description,Quantity,Link
1980,Adafruit TSL2591 High Dynamic Range Digital Light Sensor - STEMMA QT,1,https://www.adafruit.com/product/1980
2308,2.4GHz Mini Flexible WiFi Antenna with uFL Connector - 100mm,1,https://www.adafruit.com/product/2308
5348,Adafruit QT Py ESP32-S2 WiFi Dev Board with uFL Antenna Port,1,https://www.adafruit.com/product/5348
4399,STEMMA QT / Qwiic JST SH 4-Pin Cable - 50mm Long,1,https://www.adafruit.com/product/4399
n/a,0.91 Inch I2C IIC OLED Display Module OLED Screen,1,https://www.amazon.com/dp/B0BWJLV39P
n/a,ElectroCookie Mini PCB Prototype Board Solderable Breadboard,1,https://www.amazon.com/dp/B081MSKJJX
